Date,Polarity Score
03-01-2022,0.09586716666666666
04-01-2022,0.0710152
03-02-2022,0.14602035000000002
04-02-2022,0.09634218
13-02-2022,0.11319982527664532
14-02-2022,0.36739109999999997
15-02-2022,0.15053454876937103
16-02-2022,0.010104740608228987
17-02-2022,0.23253940520446098
18-02-2022,0.2451443920829406
19-02-2022,0.0001678301886792453
20-02-2022,0.2194735
21-02-2022,0.135519375
22-02-2022,0.11250320000000001
23-02-2022,0.15350195
24-02-2022,0.10928406666666668
25-02-2022,0.10718090000000001
26-02-2022,0.1414587
27-02-2022,0.19948545363659084
28-02-2022,0.131502325
03-03-2022,0.1381425
04-03-2022,0.08510676
13-03-2022,0.1110595
14-03-2022,0.07584052000000001
15-03-2022,0.10092228
16-03-2022,0.07603558
17-03-2022,0.13307236
18-03-2022,0.08927542
19-03-2022,0.22352464
20-03-2022,0.11055491999999999
21-03-2022,0.11594362000000001
22-03-2022,0.0
23-03-2022,0.14048446
24-03-2022,0.11773588
25-03-2022,0.16142226
26-03-2022,0.227658
27-03-2022,0.16902984
28-03-2022,0.15358628
29-03-2022,0.11497318000000001
30-03-2022,0.10706062
31-03-2022,0.08390728145629126
03-04-2022,0.14641722
04-04-2022,0.09083162
13-04-2022,0.11992016000000001
14-04-2022,0.16788908000000002
15-04-2022,0.11524201861130995
16-04-2022,0.1312673
17-04-2022,0.12946602000000001
18-04-2022,0.14183268000000002
19-04-2022,0.14101148
20-04-2022,0.12765532000000002
21-04-2022,0.13112878
22-04-2022,0.11292564
03-05-2022,0.1348599
04-05-2022,0.11550986
02-06-2022,0.25991446338093044
03-06-2022,0.13044883999999998
04-06-2022,0.07005033999999999
02-07-2022,0.215312265037594
03-07-2022,0.10388826
04-07-2022,0.1212492
02-08-2022,0.14946886255924172
03-08-2022,0.12045968
04-08-2022,0.1275583
02-09-2022,0.28936476851851856
03-09-2022,0.16266658
04-09-2022,0.17982808
02-10-2022,0.19353026802218115
03-10-2022,0.14229896
04-10-2022,0.14640852
02-11-2022,0.046951494252873566
03-11-2022,0.16184746
04-11-2022,0.11629380000000002
02-12-2022,0.1308213339640492
03-12-2022,0.15679678
04-12-2022,0.11973344
